group,artifact
ca.uhn.hapi.fhir,hapi-fhir-base
ca.uhn.hapi.fhir,hapi-fhir-jpaserver-api
cd.go.plugin,go-plugin-api
ch.qos.reload4j,reload4j
co.elastic.apm,apm-agent-api
co.elastic.apm,apm-agent-attach-cli
com.alibaba.nacos,nacos-api
com.alibaba.nacos,nacos-client
com.alibaba.nacos,nacos-common
com.alibaba,fastjson
com.atlassian.connect,atlassian-connect-spring-boot-core
com.bmuschko,gradle-vagrant-plugin
com.bstek.ureport,ureport2-console
com.clever-cloud,biscuit-java
com.cronutils,cron-utils
com.epam.reportportal,service-api
com.erudika,para-core
com.fasterxml.jackson.core,jackson-databind
com.github.fracpete,vfsjfilechooser2
com.github.jnr,jnr-posix
com.github.junrar,junrar
com.google.code.gson,gson
com.google.oauth-client,google-oauth-client
com.google.protobuf,protobuf-java
com.google.protobuf,protobuf-kotlin
com.googlecode.aviator,aviator
com.googlecode.gwtupload,gwtupload
com.h2database,h2
com.hubspot.jinjava,jinjava
com.itextpdf,io
com.jfinal,jfinal
com.liferay.portal,com.liferay.portal.impl
com.liferay.portal,portal-impl
com.liferay,com.liferay.gogo.shell.web
com.liferay,com.liferay.portal.scripting.groovy
com.liferay,com.liferay.portal.settings.authentication.ldap.web
com.liferay,com.liferay.portal.store.s3
com.liferay,com.liferay.portal.template.freemarker
com.linecorp.armeria,armeria
com.linecorp.centraldogma,centraldogma-server
com.linkedin.azkaban,azkaban-common
com.manydesigns,portofino-core
com.manydesigns,portofino-dispatcher
com.mikesamuel,json-sanitizer
com.mitchellbosecke,pebble
com.netflix.conductor,conductor-core
com.opensymphony,xwork-core
com.rabbitmq.jms,rabbitmq-jms
com.sap.scimono,scimono-server
com.thoughtworks.xstream,xstream
com.twelvemonkeys.imageio,imageio-metadata
com.typesafe.akka,akka-http-core
com.typesafe.akka,akka-http-core_2.12
com.typesafe.akka,akka-http-core_2.13
com.typesafe.play,play_2.12
com.typesafe.play,play_2.13
com.vaadin,flow-server
com.vaadin,vaadin-compatibility-server
com.vaadin,vaadin-server
com.vaadin,vaadin-text-field-flow
commons-beanutils,commons-beanutils
commons-fileupload,commons-fileupload
dom4j,dom4j
edu.stanford.nlp,stanford-corenlp
io.atomix,atomix-cluster
io.micronaut,micronaut-core
io.netty,netty-codec
io.netty,netty-codec-http
io.pebbletemplates,pebble
io.ratpack,ratpack-core
io.ratpack,ratpack-session
io.undertow,undertow-core
io.undertow,undertow-websockets-jsr
io.vertx,vertx-web
io.whitesource,curekit
log4j,log4j
net.mingsoft,ms-mcms
net.minidev,json-smart
net.sf.mpxj,mpxj
org.apache.activemq,activemq-jaas
org.apache.activemq,activemq-web-console
org.apache.activemq,artemis-server
org.apache.any23,apache-any23-core
org.apache.calcite,calcite-core
org.apache.camel,camel-core
org.apache.cassandra,cassandra-all
org.apache.commons,commons-compress
org.apache.cxf,cxf-bundle
org.apache.cxf,cxf-bundle-minimal
org.apache.cxf,cxf-rt-rs-json-basic
org.apache.cxf,cxf-rt-rs-security-oauth2
org.apache.ddlutils,ddlutils
org.apache.directory.studio,org.apache.directory.studio.connection.core
org.apache.dolphinscheduler,dolphinscheduler-server
org.apache.druid.extensions,druid-basic-security
org.apache.dubbo,dubbo-cluster
org.apache.dubbo,dubbo-common
org.apache.dubbo,dubbo-rpc-http
org.apache.flume.flume-ng-sources,flume-jms-source
org.apache.hadoop,hadoop-hdds-common
org.apache.hadoop,hadoop-hdds-container-service
org.apache.hadoop,hadoop-hdds-server-framework
org.apache.hadoop,hadoop-hdds-server-scm
org.apache.hadoop,hadoop-ozone-ozone-manager
org.apache.hadoop,hadoop-ozone-s3gateway
org.apache.hive,hive-exec
org.apache.hive,hive-standalone-metastore
org.apache.ignite,ignite-core
org.apache.iotdb,iotdb-server
org.apache.jackrabbit,jackrabbit-standalone
org.apache.james,apache-james-mpt-smtp-core
org.apache.james,james-server-data-file
org.apache.jena,jena-arq
org.apache.jena,jena-core
org.apache.karaf.management,org.apache.karaf.management.server
org.apache.kylin,kylin-core-common
org.apache.kylin,kylin-server
org.apache.kylin,kylin-server-base
org.apache.kylin,kylin-stream-coordinator
org.apache.logging.log4j,log4j-core
org.apache.mesos,mesos
org.apache.mina,mina-http
org.apache.nifi.registry,nifi-registry-web-api
org.apache.nifi,nifi-framework-core
org.apache.nifi,nifi-security-utils
org.apache.nifi,nifi-web-security
org.apache.openjpa,openjpa-kernel
org.apache.parquet,parquet-format-structures
org.apache.pdfbox,pdfbox
